# LongYin English canonical data - generated from the complete user translation corpus
依山而建，殿宇嵯峨，气势雄伟的寺庙群，金顶与红幡白墙交相辉映，颇为肃穆庄严。传闻其僧众极擅炮制高原珍稀药材，以此制成之藏药更是具有枯骨生肌，返老还童等神奇功效。	A grand mountain palace-temple complex with sacred significance.
蜿蜒地势之间一处幽静深谷，其间水草丰茂，灵气汇集，因而生长有奇花异草，灵药仙芝无数，在此处种植药材也是事半功倍，乃是世人修习医术之圣地。	A fertile valley rich in rare herbs and spiritual plants.
名字颇为喜庆，却是丐帮一门精妙非常的棍法。此棍招防守森严，密不透风，更藏有一式自上向下，如同拜年一般的杀招，若闪避不及便有头颅崩碎之危	The name sounds festive, yet this is an exquisitely refined Beggars Sect staff art; its defense is airtight and impenetrable, and concealed within is a killing move that strikes downward like a New Year bow — those who fail to dodge risk having their skull shattered
配置各式暗器毒药的工坊，四周以帘布遮挡，重重叠叠密不透光。盖因唐门武学讲求出奇制胜，在暗室中修习可防止泄密，同时锻炼黑暗中视物之能力。	A hidden chamber used for special training and research.
刻于天山绝顶玄冰内部来历不明的超绝内功，传说有永葆青春乃至起死回生之神妙功效，然江湖中罕有一睹真容者，故大多认为此功不过乡野传说罢了	A supreme internal technique carved within the glacier at the summit of Tianshan, of unknown origin. Legends claim it can preserve youth or even revive the dead, though few in the martial world have ever seen it, so most consider it a mere rumor.
此步法以易经为基础，修习者需根据当时时间和所处方位，经周密计算后踏对应卦象而行，传说此术可卜算吉凶，预知敌意，从而闪避刀兵，化险为夷	A footwork system based on the I Ching. Practitioners calculate time and position to step according to hexagrams, allowing them to predict danger and evade attacks.
一步一幻影，一步一化身，以玄妙步法和高超修为感应诸天众神的玄奇功法，挪步之间能飞渡虚空，跨越山海，清净光明，变化自在，常享胜妙快乐	An advanced Emei inner method focused on harmony with natural law and bodily renewal.
丐帮前任帮主嗜酒如命，尝饮百杯不醉，并在随性挥舞间，创出这套以醉拳为基础的精妙拳法，其形散神不散，四面出击，潇洒快意，不负酒仙之名	The previous Beggars Sect leader was addicted to wine, reportedly drinking a hundred cups without getting drunk; he created this refined fist art based on drunken fist through spontaneous movement — its form is scattered but its spirit is not, striking in all directions with free-spirited flair, worthy of the name Wine Immortal
丐帮最强掌法，动作简单无奇但却威力无穷，盖因此掌法将人体之力道与内劲之运用发挥到了极致，因此每击均有排山倒海之力，可以不变应万变矣	The Beggars Sect's strongest palm art; the moves are simple and unremarkable yet of limitless power, because this art pushes the body's force and inner force application to their absolute limit — every strike has the force of moving mountains and overturning seas, able to meet any situation with one unchanging response
令经脉穴位皆偏移逆转的崆峒奇功，修习后周身力道反转，出招方式与内息运行皆异于常人，更能借此反转之力将来袭刀剑偏移方向，甚至反伤敌身	A Kongtong inner art that reverses the flow of meridians, altering force direction and even reflecting incoming attacks.
传说天山祖师修行之时，曾目睹九天玄女自空中俯身而下，采撷梅花一枝，从而领悟出此飘忽若仙的绝世轻功，妙至巅毫，神出鬼入，不似人间所有	It is said the Tianshan founder once saw the Nine Heavens Mysterious Maiden descend from the sky and pluck a plum blossom, thereby realizing this ethereal and immortal Movement Art—so refined it seems beyond the human world.
武绝义融合了飞龙门帝王封禅功和崆峒派斗转星移，所创独门绝技，出招方式与内息运行完全逆常理而行，诡异莫测，修习者稍有不慎便会走火入魔	A unique technique created by Wu Jueyi, combining the Flying Dragon Sect’s imperial consecration skill with the Kongtong Sect’s “Shifting Stars” method. Its movements and internal circulation defy normal logic; extremely strange and dangerous, with a risk of qi deviation.
紫微斗数推命之术演化而来，将经脉穴位与天空星辰对应，根据每日天象与命盘转化来推算对应的内力运行路径，此后修为自然突飞猛进，如有神助	A method derived from Ziwei astrology that maps meridians to celestial stars, allowing practitioners to align Inner Force flow with cosmic patterns for accelerated cultivation.
习武者最珍视苦修而来的内功功力，而此法却专攻任督二脉，损伤主脉消减功力，治疗不及便有伤残之虞，江湖中人不仅恨之入骨，更是畏之如虎	A method that targets the Ren and Du meridians, damaging the main energy channels and reducing a practitioner’s internal power. If not treated in time, it may cause permanent injury; it is widely feared and hated in the martial world.
霹雳祖师遭人暗算武功尽废后，潜心研制而成的终极火器，有毁天灭地之能。其配方失传后霹雳堂历代不断尝试复原，才得此最接近成功的复刻品	The ultimate weapon created by the Thunderclap Hall founder after his martial arts were destroyed by sabotage. It was developed in pursuit of catastrophic destructive power. The original formula has been lost, and later generations have only managed partial reconstructions.
传说海水汇集处有无底深谷名曰归墟，此心法将丹田炼化为归墟，经脉炼化为河流，与他人内劲相交时，可将其内力沿河流吸纳入海，化为己用	A mental cultivation method derived from the idea of the abyssal “Ruins Return” oceanic chasm. It transforms the dantian into a sea and meridians into rivers, allowing absorption of others’ Inner Force like flowing water into the ocean.
天山内功多属性阴寒，常年修炼难免寒气入体伤肌冻骨，必须运此功法化解，盖因其内息纯阳炽热，可令周身寒意顿消，附近积雪亦被热浪融化	A fire-and-ice dual internal technique: its pure yang heat neutralizes the sect’s cold energy, even melting surrounding snow when circulated.
达摩于嵩山面壁九年后，在少林留下这本融佛学和武学无上精要的宝典，通周身经络，系五脏精神，其内息澎湃无垠，可谓取之不尽，用之不竭	A classical text from the Southern Dynasties by Liu Xie, covering the principles of writing and expression. Mastery of it allows understanding of the deeper logic behind martial manuals.
大隐阁不传之绝技，运功者每遭重击，便借力将气血内息于体内轮回一次，直至行将落败，此前轮回之力同时爆发，便能凤凰涅槃，浴火重生	A forbidden technique of the Hidden Pavilion. Each time the practitioner suffers a heavy blow, Inner Force is cycled within the body; when near defeat, all accumulated power erupts, resulting in rebirth-like recovery.
相传是跛脚僧于睡梦中传授丐帮前辈的神妙拳法，出招时双眼微闭做昏昏欲睡状，招式空幻奇绝令人如坠梦中而不自知，待惊醒已身中数拳矣	Said to have been taught by a lame monk to a Beggars Sect ancestor in a dream; when executing the moves, the eyes are half-closed in a drowsy manner — the techniques are phantasmal and strange, leaving the enemy feeling as if in a dream without realizing it, until they wake to find themselves struck by several blows
计心狂所夺得的龙胤归藏功一部分，最为完整但也最为艰深。计心狂苦心参悟并融入五毒心法，最终成为一门阴狠毒辣，怪异莫测的恐怖功法	A more complete but extremely profound fragment of the Dragon Origin Hidden Scripture obtained by Ji Xin Kuang. After integrating it with the Five Poisons inner method, it became a sinister, vicious, and terrifying technique.
<i>江湖<color=#8C8C8C>基础内功</color><color=#2779FA>善本</color></i>	<i>Jianghu<color=#8C8C8C>Basic Internal Art</color><color=#2779FA>Rare Edition</color></i>
<i>江湖<color=#8C8C8C>基础剑法</color><color=#8C8C8C>残本</color></i>	<i>Jianghu<color=#8C8C8C>Basic Sword</color><color=#8C8C8C>Incomplete Manual</color></i>
<i>江湖<color=#8C8C8C>基础拳掌</color><color=#78BE00>仿本</color></i>	<i>Jianghu<color=#8C8C8C>Basic Fist</color><color=#78BE00>Copy</color></i>
五毒教至高掌法，需采五毒反复淬炼双掌，中掌者体内五毒流窜，相互攻伐，周身肌肤因而呈现赤黄青紫黑五种颜色，足见其毒性诡谲狂乱	The Five Poisons Sect's supreme palm art; requires repeatedly tempering both palms with five poisons — those struck find five poisons surging through their body and fighting each other; the skin takes on five colors — red, yellow, blue, purple, and black — showing the bizarre and chaotic nature of its toxicity
天蚕丝线珍贵无比，坚韧异常，刀砍火烧皆不能破，平时隐藏在手腕间，使用时以内劲吐出，可捆绑缠绕敌人武器四肢，一旦被缚再难脱身	Heavenly Silkworm thread is precious beyond measure and abnormally tough — immune to blade and fire; normally concealed around the wrist, when deployed with inner force it can bind and wrap around the enemy's weapons and limbs — once bound, escape is nearly impossible
峨眉禅修之法，以浩然正气和纯净无匹的内息充盈百会、玉枕、印堂等头部要穴，便能产生形似佛顶宝光的七色光环，智慧灿然，元气殊胜	A tiger-style walking technique used to build stable, powerful lower-body strength and awareness.
飞龙门登峰造极之枪法，其发力时机只在瞬息之间，如惊鸿于水面一点，却是数十年心魂体魄修炼之结晶，即便高手对战也能一招分出胜负	The Flying Dragon Sect's supreme spear art; the moment to release force exists only in an instant, like a startled swan touching the water's surface — yet it is the crystallization of decades of body and soul cultivation; even in a duel between masters, one move can decide the outcome
驱使斑斓花蛛吸食自身血液，同时将蛛毒缓缓引入体内的奇功，出手时毒素聚集指尖，皮肤也会变得五彩斑斓，诡异莫名，触之者立中奇毒	A strange art of letting a colorful flower spider drink one's own blood while slowly drawing the spider's venom into the body; when striking, the poison concentrates at the fingertips and the skin becomes multicolored and bizarre — those touched are immediately struck with exotic poison
吕洞宾所创长诗，字字蕴含道家修真之无上法门，玄通天地，神游虚空，大成者如得吕祖亲传，正是：附耳低言玄妙旨，提上蓬莱第一峰	A long poem by Lu Dongbin containing Taoist cultivation principles. Its meanings span heaven and earth, and mastery of it is akin to receiving direct immortal guidance.
天山派独门心法，需在寒冷之处以经脉吸纳寒气，借以苦修阴性内功，意志不坚者多难以维持，真可谓不经一番寒彻骨,怎得梅花扑鼻香	The sect’s unique inner cultivation method requires absorbing cold qi through the meridians in freezing environments; those lacking willpower struggle to persist, truly “no pain, no gain.”
少林硬功之首，运功时周身肌肤隐隐有金黄之色，功力越高者颜色越深，直至金芒四射之时，便能抵御一切外力侵袭，成就金刚不坏之身	A chess-based martial strike targeting the center (“tianyuan”). Instead of avoiding the center, it directly attacks central meridians for a sudden decisive hit.
峨眉金顶东面有一悬崖名舍身崖，雄险奇伟，修习者需以舍身勇气一跃而下，于悬崖上攀援横渡直至谷底，功力稍浅者恐有粉骨碎身之虞	A vast cultivation system representing interconnected “paths of heaven and earth,” spanning twelve Inner Force routes.
崆峒奇门高手所使的圆环形兵刃，可持于手中挥砍格挡，也可掷于空中回环飞舞，招式纷繁复杂变化无穷，功浅者使用反而容易划伤自己	A circular weapon technique using ring-shaped blades that can be wielded or thrown; complex and dangerous, even for the user.
暹罗国王所赠之秘宝，乃天竺僧人以贝多罗叶为纸以泥金为墨所写之经书，内含极为精深的佛法和内家修行法门，非智慧非凡者难以参悟	A Mount Emei sword style containing Taoist principles; calmness is required, otherwise progress stagnates.
<i><color=#78BE00>普通头盔</color><color=#8C8C8C>残品</color></i>	<i><color=#78BE00>Common Headgear</color><color=#8C8C8C>Damaged</color></i>
<i><color=#78BE00>普通头盔</color><color=#FF8C06>珍品</color></i>	<i><color=#78BE00>Common Headgear</color><color=#FF8C06>Rare</color></i>
<i><color=#78BE00>普通护甲</color><color=#8C8C8C>残品</color></i>	<i><color=#78BE00>Common Armor</color><color=#8C8C8C>Damaged</color></i>
<i><color=#78BE00>普通护甲</color><color=#9A7CFF>上品</color></i>	<i><color=#78BE00>Common Armor</color><color=#9A7CFF>Superior</color></i>
<i><color=#78BE00>普通武器</color><color=#8C8C8C>残品</color></i>	<i><color=#78BE00>Common Weapon</color><color=#8C8C8C>Damaged</color></i>
<i><color=#78BE00>普通武器</color><color=#9A7CFF>上品</color></i>	<i><color=#78BE00>Common Weapon</color><color=#9A7CFF>Superior</color></i>
<i><color=#78BE00>普通足履</color><color=#8C8C8C>残品</color></i>	<i><color=#78BE00>Common Footwear</color><color=#8C8C8C>Damaged</color></i>
<i><color=#8C8C8C>劣质头盔</color><color=#2779FA>中品</color></i>	<i><color=#8C8C8C>Low-Quality Headgear</color><color=#2779FA>Fine</color></i>
<i><color=#8C8C8C>劣质武器</color><color=#8C8C8C>残品</color></i>	<i><color=#8C8C8C>Low-Quality Weapon</color><color=#8C8C8C>Damaged</color></i>
<i><color=#8C8C8C>劣质足履</color><color=#78BE00>下品</color></i>	<i><color=#8C8C8C>Low-Quality Footwear</color><color=#78BE00>Crude</color></i>
丐帮祖师对战群邪时所创棍法，以“打狗”称之颇有几分戏谑粗俗之意，却是举重若轻，返璞归真，实用至极，无丝毫多余动作之招式	A staff art created by the Beggars Sect founder while battling a horde of villains; calling it "dog beating" carries a certain humorous roughness, yet it is effortlessly powerful, returning to fundamental simplicity — extremely practical with not a single wasted movement
于天山瑶池上漫步之法，看似闲庭信步，优雅惬意，实则每一脚都踩在薄如蝉翼的薄冰之上，其中巧劲之把控可谓精妙绝伦，分毫不差	A walking technique practiced on the Jade Pool of Tianshan. It looks leisurely and elegant, but each step is placed on ice as thin as a cicada’s wing, requiring perfect control and precision.
威力惊人内力消耗也极大的掌法，将阴阳两股精纯真气凝聚掌心，借劈掌之力将其剧烈融合，所到之处雷鸣震天，无坚不摧，无物不毁	A soft internal fist style that uses spiraling force to neutralize joint strength.
将鞭收于脑后引而不发，全神贯注，将生死悬于身后一线之超绝鞭法，此鞭挥出力道时机方位均是精妙非凡，可谓高下立判，胜负立分	A whip technique held behind the head and released at a critical moment, where timing and angle determine victory or defeat.
由外及内，先练体后练气的少林基础内功，修习时全身肌肉配合呼吸运劲，持之日久便感气血充盈，丹田膨胀，能意领气走，气随劲发	A foundational Shaolin internal cultivation method that develops from the external to the internal. Through coordinated muscular tension and breathing, long practice leads to abundant qi and blood, expanded dantian, and the ability to guide qi with intent so that it follows force.
由天山独特天文异象演化而来，将至阳内劲于掌心倾吐而出，形成一道炽热耀目的白虹，所过之处，冰消雪融，与日月争辉，势不可挡	Derived from unique celestial phenomena of Tianshan, it releases pure yang Inner Force from the palm, forming a blazing white rainbow. Wherever it passes, ice and snow melt; its power rivals the sun and moon.
一卷平平无奇之蚕丝绫布，在深厚内力和独特手法挥舞之下，迎风招展，遮天蔽日，可缠卷兵刃，绑缚敌身，其曲折回环间如有灵性	A seemingly ordinary silk cloth weapon that, when infused with profound Inner Force, can expand to block the sky, bind enemies, and restrain weapons with flexible intelligence.
丐帮中人大多遵纪守法，但情急时仍需干些偷鸡摸狗的勾当，因此留有一式探囊取物的偷盗手法，但贸然以此作奸犯科者也难逃重罚	Most Beggars Sect members are law-abiding, but in urgent situations they still need to pick a pocket or two; this technique exists for that purpose — though those who abuse it for crime will not escape punishment
传说湿婆皈依后所创护法神功，运转时遍体肌肤深沉暗淡，修为精深者更得黑气缭绕，此乃大黑天护持之法相，森然恐怖，不怒自威	A protective martial art derived from the worship of Shiva after his conversion, manifesting a darkened aura over the body. Advanced practitioners are surrounded by a black energy known as the “Great Black Deity form,” exuding overwhelming intimidation.
位于门派深处一处幽僻隐秘的建筑，设有修习内功，轻功以及绝技的各类器械秘籍、机关装置，以及突破武学境界所需的闭关房。	A hidden facility deep within the sect used for inner cultivation, Movement Art skills, and breakthrough training with manuals and mechanisms.
天山山脚水草丰茂，时常有仙鹤驻留，此擒拿绝技擅长攻其不备，快速捕捉而不伤分毫，若力道和内功修为稍有不足，便难以得手	A grappling technique practiced near the mountain base, used to capture cranes swiftly and precisely without harming them, requiring great control of force and Inner Force.
蓬莱派秘传修真之法，仙人抚我顶，结发受长生，习此功法时自有一股真气自百会穴而下，若能一路破关抵达丹田，便可大增功力	A secret Penglai cultivation method where “an immortal touches the head and grants longevity.” A stream of qi descends from the crown point and, if guided successfully to the dantian, greatly increases cultivation power.
西凉死士所创，但求同归于尽的悲壮招式，虽毫无防御且不留后手，其一往无前之势却能摧毁敌人意志，颇有置之死地而后生之意	A suicidal Western Liang technique that abandons defense entirely, relying on overwhelming forward momentum to break the enemy’s Willpower.
门派中藏经，阅经，以及文案抄写研究之所，从粗浅入门功夫到秘传独门武学，皆分门别类储藏其中，非本门弟子自是严禁入内。	A place for storing, reading, and copying martial arts texts, from basic manuals to secret techniques, strictly forbidden to outsiders.
传说乃佛陀护法帝释天所创，需有大力量与大智慧之人方能使出，一击之下金光四射闪电轰鸣，可击碎一切愚痴妄想与外道魔障	A legendary technique attributed to Indra, protector of the Buddha. It requires immense strength and wisdom, releasing a strike of golden lightning capable of shattering ignorance, delusion, and demonic obstacles.
传说苗疆毒沼中有背生翅膀之异蛇，五毒高人有幸得见而创此功，其身形缥缈诡谲，去势叵测，上天入地，浮游深潜皆易如反掌	Legend says there is a strange serpent with wings on its back in the Miao borderland poison swamps; a Five Poisons master was fortunate enough to witness it and created this art — the body moves in a phantasmal and unpredictable manner, going up and down, floating and diving, all with ease
内装黑火药和钢珠之球形暗器，投掷爆炸后，其中上千枚钢珠四散激射，中者周身肌肤尽碎，如遭凌迟，如此惨状令人闻之色变	A spherical explosive hidden weapon containing gunpowder and steel pellets. Upon detonation, thousands of pellets scatter outward, shredding the victim’s body and causing devastating injuries.
剑势优美繁复，至阴至柔，嫦娥起舞，清影缭绕，令人如坠广寒宫中，有彻骨透心之意，唯有天山派资质最高之女弟子方能修习	An elegant and complex sword style of extreme yin and softness, resembling Chang’e dancing under the moon. It evokes the sensation of falling into the Moon Palace; only the most talented female disciples of Tianshan can learn it.
剑势简雅古朴，至阳至刚，内劲炙热，烈火烁金，其气直贯九霄云外，有冲天动地之能，唯有天山派资质最高之男弟子方能修习	A simple and ancient sword style of extreme yang and hardness, with blazing Inner Force like molten fire. Its qi pierces the heavens, capable of shaking the world; only the most talented male disciples of Tianshan can learn it.
唐门至高暗器，平平无奇的黑色钢针，却是以九种剧毒淬炼而成，见血封喉，无比凶险，江湖中人闻之无不两股战战，望风逃遁	The Tang Sect's supreme hidden weapon; an ordinary-looking black steel needle, yet refined with nine virulent poisons — lethal the moment it draws blood, it is so feared in the jianghu that people flee at its mere mention
太极者天地混沌未开之相，此功法集天地灵气，纳四海于经脉，含八荒于丹田，故太极真气得以生生不息，取之无尽，用之不竭	A philosophical Taiji cultivation method representing primordial chaos, drawing universal energy into the meridians to achieve endless internal circulation.
如痴如狂，如癫如嗔之棍法，棍势攻出四面八方，形无定势，动无虚招，以疯助其快，以魔增其威，令敌人望而生畏又无处遁逃	A chaotic and frenzied staff technique that attacks from all directions without fixed form. It uses madness to enhance speed and ferocity, leaving opponents both intimidated and unable to escape.
形似佛祖拈花之指法，将全身真气凝于三指指尖，或钳制兵刃，或隔空制穴，貌似轻柔实则内劲澎湃，飞花落叶也足以掷出伤人	A calligraphy-based martial art blending hardness and softness. Iron strokes strike with forceful vigor, while silver hooks defend with elegant softness; failure to master even one aspect ruins the overall harmony.
武当内家剑精髓，催周身真气于剑上，锋刃灵气氤氲，瑞光乍现，出招时乘九狮之仙驭，散百宝之祥光，堪有太乙天尊三分神通	A Wudang internal sword essence technique that concentrates qi into the blade, producing auspicious radiance and overwhelming spiritual pressure.
蓄势凝神收而不发之棍法，起手将棍举过头顶，随敌人移动不断变换出手角度方位与力道，至一棍击出，时机精妙，无失手之理	A staff technique focused on gathering strength without immediate release. The staff is raised overhead and its angle and timing constantly adjusted; when finally struck, it is executed with perfect precision and inevitability.
衙门升堂之时，左右衙役高呼威武之动作中领悟出的棍法，其路数威风凛凛，屏开八面，不时敲击地面发出巨响，震慑敌人心神	A staff art inspired by the bailiffs' powerful shout of "Weiwu!" as a magistrate enters court; its manner is imposing and grand, periodically striking the ground with a great crash to shake the enemy's spirit
铸剑祖师欧治子感应剑池中万柄废弃刀剑之意，终苦思而成一没有剑招只有剑意的神妙剑法，剑未动，意已发，剑有尽，意无穷	The Sword Forging founder Ou Yezi, sensing the will of thousands of discarded blades lying in the Sword Pool, finally devised through bitter contemplation a wondrous sword art with no moves — only sword intent; before the sword moves, the intent has already gone out; the sword has its limit, but the intent has none
阎罗王自蒙古摔跤术中悟出，以怪力攻敌下盘使其失去重心的拳法，高手相争之时若一方跌倒在地，无异于落入任人鱼肉之境地	A fist technique inspired by Yama, realized from Mongolian wrestling, which uses overwhelming force to strike the opponent’s lower body and destabilize their stance. In high-level duels, once one side falls, they are essentially at the mercy of the other.
世间轻功大多为腿脚窜纵之术，而此轻功玄妙则可腾空以内息推进而行，凌空时全身静止不动，唯有衣袂飘飘，宛如驭气飞行	A rare Movement Art where the body moves not by stepping but by Inner Force propulsion. In motion, the body appears still while clothing floats like it is carried by the wind.
五毒教至高内功心法，将五种剧毒融入经脉运行中，真气因而呈现出赤黄青紫黑五色，其周身肌肤与举手投足间无不暗含剧毒	The Five Poisons Sect's supreme inner art; five virulent poisons are fused into the circulation of the meridians, causing the true qi to take on five colors — red, yellow, blue, purple, and black — and every inch of skin and every movement carries deadly poison
以嵇康失传曲谱为形，深厚玄奥内劲为意所创奇功，演奏时劲风四射，周身数丈内惊蓬振振，杀气森森，飞沙走石，天地变色	A powerful inner art based on the lost musical score of Ji Kang. When performed, it unleashes strong winds within a radius, shaking vegetation and filling the area with killing intent and chaos.
以苗家请神之法使先祖蚩尤降神附体，所过之处皆黑雾缭绕，功力稍浅者甫一接触，或疯癫乱舞，或丧神失魄，如见蚩尤真身	Using the Miao ritual of inviting spirits, the ancestor Chiyou descends and possesses the practitioner; wherever they pass, black mist swirls — those of shallower cultivation who make contact may go raving mad, or lose their soul entirely, as if facing Chiyou in the flesh
传说太上老君在峨眉山授于轩辕黄帝之天书，其中万法糅杂，儒道佛兼备，清音霄畅，万真降庭，被奉为道法之宗，群经之首	A chaotic sword technique with no fixed form, mirroring monkey-like unpredictability.
太极圆转，无止无息，以柔劲不断卸去来袭力道为己用，再将此前所蓄一击返还，乃以静制动，以柔克刚之道家拳法不二法门	A Taiji-style technique that constantly neutralizes incoming force using softness, then returns it in a counterstrike—using stillness to overcome motion.
将剑速舞至极致，整柄剑在手中只剩些微反光和残影，仿若无形无影无声无息之剑，此后或攻或守，自然诡谲莫测，招法难辨	The sword is spun to the absolute limit of speed until the entire blade shows only faint reflections and afterimages — as if the sword has become invisible, inaudible, and traceless; thereafter whether attacking or defending, the moves become naturally deceptive and impossible to read
将阴阳两股内力碰撞研磨之法，每旋转一周内劲便增加一分，敌人内力也磨损一分，若修为不精强行使用，自身经脉也会受损	A method of driving two streams of yin and yang inner force into collision and grinding; with each rotation the inner force increases by a degree while the enemy's inner force is worn down by a degree — if used forcibly without sufficient mastery, the practitioner's own meridians will be damaged
